id2,url,asin,brand,pcategory1,title,listprice,techdetails,proddescrshort,proddescrlong,imageurl,modelno,itemweight,length,width,height
1,14249992,64109216245,[26203],"[5629, 17, 961]","[26203, 23280, 5967, 36412]",58.45,"[23280, 0, 196912, 2197, 12, 4496, 561, 5, 62, 197, 4, 710, 1388167, 9953, 4776, 20, 289832, 14151, 2575, 474, 702147, 17221, 1569, 65035, 15181, 102, 3, 26203, 100694, 474, 1423, 0, 1569, 7838, 2]",[0],"[0, 0, 196912, 2197, 12, 4496, 561, 5, 62, 197, 4, 710, 1388167, 9953, 4776, 20, 289832, 14151, 2575, 474, 702147, 17221, 1569, 65035, 15181, 102, 3, 26203, 100694, 474, 1423, 0, 1569, 7838, 2]","[6567, 10, 66, 66, 0, 66, 109, 66, 29930, 66, 7025, 66, 3014, 66, 168, 66, 5099, 66, 387, 66, 0, 643, 0, 643, 0]",121066,2.0,,,
2,10928662,1034383417,[15338],[18715],"[15338, 7555, 5548, 101212, 551600, 19540, 8400, 0]",438.84,[0],"[15338, 0, 5297, 8400]","[66964, 0, 837960, 261115, 194897, 32310, 1429, 32310, 821583, 1429, 0, 0, 59968, 2468, 8400, 875, 7555, 6700, 4457, 15338, 3073, 10230, 9795, 4402, 4457, 872, 1427, 0, 4457, 2015, 2664, 1257484, 1204, 1384, 5297, 8400, 5037, 1915, 4345, 1204, 1915, 101212, 551600, 19540, 8400, 2597, 12424, 4457, 15338, 3073, 4457, 872, 1427, 0, 2245, 6392, 30253, 12885, 4457, 2015, 2664, 1257484, 8400, 875, 7555, 6700, 25891, 15338, 303563, 0, 19540, 15338, 303563, 0, 19540, 15338, 303563, 0, 19540, 10230, 9795, 4402, 1204, 1384, 5297, 8400, 2245, 2977, 67, 6898, 5037, 1915, 4345, 1204, 1915, 101212, 551600, 19540, 8400]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 2119, 66, 2618, 66, 3563, 66, 5198, 66, 0, 643, 0]",ELPLP12,0.95,6.75,5.75,5.5
3,11961447,80844700031,[12157],"[533, 2695]","[12157, 149051, 2333, 14333, 47829, 2190, 12, 340567, 1270, 6, 392]",59.25,"[12157, 270, 3726, 2333, 15420, 6081, 26455, 263605, 4, 16985, 16, 42, 27, 2188, 25, 246, 539, 15420, 18, 2333, 1362663, 3726, 2333, 47829, 15420, 24, 7, 266, 12, 44, 1301, 268, 9991, 1411, 540, 2186, 13336, 4, 2599, 12, 44, 10381, 787323, 80, 5263, 4871, 400, 12157, 15420, 3, 4200, 992, 6, 269, 9736, 10104, 4, 7157, 1812816, 10424, 6213, 0, 2333, 40620, 0, 5062, 54165, 73299, 2109, 670, 8048, 269157, 5587, 8479, 168406, 0, 4544, 90680, 5, 303, 73299, 0, 2004, 15517, 86749, 56168, 3282, 745, 5, 3839, 3282, 745, 10273, 0, 0, 64693, 4774, 17337, 405, 0, 0, 1125, 222124, 1005, 564, 0, 32681, 310999, 263, 5, 539, 4781, 6083, 0, 5505, 4724, 4642, 8017, 113410, 7290, 0, 8017, 0, 1630, 0, 189178, 9171, 0, 242427, 45217, 2333, 44, 168079, 0, 0, 539, 1679, 138801, 96221, 9018, 0, 65802, 17992, 5145, 15640, 5145, 0, 2464, 2287, 54052, 15640, 5145, 0, 41343, 39218, 199, 89, 168079, 0, 2379, 12157, 601, 7, 5263, 4871, 18, 44, 412]",[0],"[0, 270, 3726, 2333, 15420, 6081, 26455, 263605, 4, 16985, 16, 42, 27, 2188, 25, 246, 539, 15420, 18, 2333, 1362663, 3726, 2333, 47829, 15420, 24, 7, 266, 12, 44, 1301, 268, 9991, 1411, 540, 2186, 13336, 4, 2599, 12, 44, 10381, 787323, 80, 5263, 4871, 400, 12157, 15420, 3, 4200, 992, 6, 269, 9736, 10104, 4, 7157, 1812816, 10424, 6213, 59858, 2333, 40620, 1712045, 5062, 54165, 73299, 2109, 670, 8048, 269157, 5587, 8479, 168406, 13827, 4544, 90680, 5, 303, 73299, 15512, 2004, 15517, 86749, 56168, 3282, 745, 5, 3839, 3282, 745, 10273, 82983, 0, 64693, 4774, 17337, 405, 0, 509, 1125, 222124, 1005, 564, 3170, 32681, 310999, 263, 5, 539, 4781, 6083, 509, 5505, 4724, 4642, 8017, 113410, 7290, 2453, 8017, 0, 1630, 75925, 189178, 9171, 141667, 242427, 45217, 2333, 44, 168079, 0, 794966, 539, 1679, 138801, 96221, 9018, 28518, 65802, 17992, 5145, 15640, 5145, 6947, 2464, 2287, 54052, 15640, 5145, 5241, 41343, 39218, 199, 89, 168079, 0, 2379, 12157, 601, 7, 5263, 4871, 18, 44, 412]","[6567, 10, 66, 66, 0, 66, 109, 66, 29930, 66, 7025, 66, 1564, 66, 4889, 66, 3822, 66, 7025, 66, 0, 643, 0, 643, 0]",BJ-2C7559,0.05,,,
4,13044637,79006932160,[50130],"[2291, 17, 961]","[50130, 0, 1511, 3915]",99.82,"[18021, 1511, 3915, 19436, 366895, 23324, 13581, 132, 6589, 7892]","[23, 50130, 0, 1511, 3915, 525, 20, 545, 19, 152, 5, 1131, 565, 7, 10056, 1352, 5, 35, 187, 33, 321, 706, 987153, 63, 648, 170, 57, 6, 3, 351070, 5220, 3115, 3, 8753, 5849, 8, 3, 1352, 460, 3, 644, 2900, 15109, 4, 4575, 11, 844597, 194, 478, 79, 3, 1352, 11, 1618, 767, 3336, 18, 5, 0, 989, 35, 1199, 4, 350, 4030, 84, 11, 97, 152, 5, 11237, 35, 9332, 5, 437, 62, 7561, 33, 850, 0, 605, 0]","[18021, 1511, 3915, 19436, 366895, 23324, 13581, 132, 6589, 7892, 7461, 762, 618, 4, 397, 625, 8451, 4, 1058, 22191, 2026, 33320, 3235, 6331, 1964, 13351, 4, 6940]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 5133, 66, 7025, 66, 4329, 66, 1771, 66, 0, 643, 0]",DCS-1100,,,,
5,13214131,6503081691,[159560],"[5629, 17, 961]","[120052, 0, 419, 8991, 982, 10565]",59.0,"[11455, 123, 311951, 16559, 4, 1205, 10969, 168, 6037, 390, 7902, 715, 2231, 6, 1605, 5, 390, 9747, 419, 14099, 20404, 9747, 193, 315, 390, 35776, 1187]","[23, 120052, 0, 419, 8991, 982, 10565, 715, 7, 465359, 1295, 12, 35, 122170, 1205, 4, 4481, 123, 311951, 16559, 4, 1205, 0, 23, 168, 6037, 390, 7902, 715, 2231, 6, 1605, 5, 390, 9747, 4, 3, 419, 14099, 20404, 9747, 193, 315, 390, 35776, 1187, 4, 8659, 0]","[419, 8991, 982, 10565, 1295, 12, 35, 122170, 1205, 11455, 123, 311951, 16559, 4, 1205, 10969, 168, 6037, 390, 7902, 715, 2231, 6, 1605, 5, 390, 9747, 419, 14099, 20404, 9747, 193, 315, 390, 35776, 1187, 4, 8659, 29601]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 2659, 66, 539, 66, 308, 66, 5123, 66, 0, 643, 0]",RKPW247015,5.25,72.5,2.5,1.5
6,13215629,2120052175,[17140],[3657],"[17140, 0, 38267, 7461, 164100]",67.88,"[6083, 3001, 2468, 238426, 2158, 22787, 483]","[77, 6994, 98182, 601, 40, 25088, 428, 16, 3290, 19, 2750, 5, 193, 1939, 144, 3539, 4, 3209, 9052, 4, 2093, 1759579, 568, 161482, 2686, 1226, 51, 2083, 4, 3209, 1923, 4, 106, 9654, 6994, 3350, 4, 8075, 1226, 3576, 0, 7935, 1087043, 17710, 24239, 6083, 18, 2686, 2959, 35, 1206, 30, 0]","[6083, 3001, 2468, 238426, 2158, 22787, 483]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 2509, 66, 251, 66, 7025, 66, 3636, 66, 0, 643, 0]",FR530CB,10.5,21.6,13.5,4.05
7,13216122,8869859138,[2799],"[23948, 64, 1022, 15649]","[2799, 0, 25091, 3414, 67, 2985, 1241913, 360, 2869, 4489]",49.88,"[8541, 627, 10632, 873, 149, 126, 20, 24655, 11829, 8931, 12, 1093570, 5149, 4, 428, 29753]","[23, 2799, 0, 25091, 3414, 11, 2315, 12, 1093570, 3436, 5149, 4, 428, 0, 57173, 3005, 627, 873, 12566, 13531, 30051, 867, 4, 12497, 537, 696584, 5295, 3005, 627, 1269, 1124, 6448, 527, 140169, 12, 7535, 13531, 434088, 25091, 873, 46, 5854, 20368, 474, 4, 268, 2996, 12, 869, 5134, 696584, 910, 27, 3656, 20, 14946, 33, 25720, 24618, 12, 3, 46117, 900, 6523, 4, 4026, 1243289]","[8541, 627, 10632, 873, 149, 126, 20, 24655, 11829, 8931, 12, 1093570, 5149, 4, 428, 29753, 25091, 873, 46, 5854, 20368, 474, 4, 268, 2996, 12, 869, 5134, 1137, 67, 2985, 17, 2122, 360, 2869]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 2384, 66, 5042, 66, 4204, 66, 4819, 66, 0, 643, 0]",C6020B,9.78,33.98,3.83,3.83
8,13216211,78541410985,[242032],"[5629, 17, 961]","[242032, 0, 1045189, 238930, 19193]",199.98,"[238930, 867, 12204, 4240, 20106, 2649, 1701]","[23, 242032, 1045189, 11, 3, 663, 9044, 12, 3, 1323, 1499046, 47516, 76, 31526, 12352, 22, 6077, 1015, 4, 427, 475859, 867, 14463, 5, 8068, 44, 6, 35, 18738, 221, 1376, 2425, 4, 753, 62, 5, 4240, 20106, 8, 44, 718, 637, 6034, 279, 23783, 692338, 23, 1045189, 8764, 1070, 8, 7, 2921, 1848, 4, 11, 4556, 25, 3, 2649, 3156, 5, 6258, 7620, 4727, 390, 11, 0]","[238930, 867, 12204, 16509, 4, 5380, 4240, 20106, 2649, 1701, 10230, 20, 671, 1028, 4, 671, 4212]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 4796, 66, 4089, 66, 381, 66, 168, 66, 0, 643, 0]",RW120-WU,1.85,11.4,2.0,1.5
9,13221597,1250261176,[6460],"[23948, 64, 1022, 15649]","[6460, 0, 97143, 7286, 15461, 20943, 4953, 9458]",64.88,"[4322, 3458, 3829, 8931, 12, 1316, 4, 8520, 3193, 67, 2985, 17, 82386, 360, 539]","[1250, 1316, 4, 8520, 3193, 7, 0, 1250, 93, 1131, 4, 11516, 20, 127, 668, 3829, 4, 313642, 7286, 15461, 1208624, 2082207, 4, 0, 94, 42, 1731, 1306, 30, 1359, 2941, 7464, 33, 2743, 20, 76, 7, 1906122, 1138, 32, 488, 4, 87, 2200, 246, 6460]","[4322, 3458, 3829, 8931, 12, 1316, 4, 8520, 3193, 149, 126, 20, 6460, 313642, 7286, 15461, 1208624, 2082207, 4, 0, 67, 2985, 17, 82386, 360, 539]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 2119, 66, 392, 66, 2509, 66, 5078, 66, 0, 643, 0]",DK2113,0.55,4.5,4.5,3.6
10,13215623,5113580710,[17140],"[5629, 17, 961]","[17140, 0, 12383, 7823, 10904]",17.88,"[7823, 10904, 2468, 63569, 100527, 1263, 2158, 483]","[7823, 6861, 20, 10449, 858, 624, 17140, 46903, 9794, 453605, 10651, 12, 230, 763, 4, 9753, 2622, 5, 3547, 6810, 10449, 0, 453605, 1604, 8748, 1852, 204, 6, 2859, 9719, 62, 5, 2333, 1642929, 63569, 27074, 34042, 3, 1255, 6, 38306, 167, 29, 7487, 16, 42, 861, 16370, 32175, 4, 494, 0]","[7823, 10904, 2468, 63569, 100527, 1263, 2158, 483]","[6567, 10, 66, 66, 0, 66, 109, 66, 3524, 66, 7025, 66, 2688, 66, 303, 66, 1702, 66, 1564, 66, 0, 643, 0]",MW310LE,0.95,9.63,7.65,0.36
