id2,prod_id1,prod_id2,brand,groupname,title,price,shelfdescr,shortdescr,longdescr,imageurl,modelno,shipweight,length,width,height
1,14249992,64109216245,Draper,Electronics - General,Draper Infrared Remote Transmitter,58.45,Infrared transmitter. 3-button operation for instant access to up  down and stop functions. Fully compatible with learnable IR master control systems. Receiver sold seperately plugs into the Draper low-voltage control unit LVC-III sold separately .,,DR1143Infrared transmitter. 3-button operation for instant access to up  down and stop functions. Fully compatible with learnable IR master control systems. Receiver sold seperately plugs into the Draper low-voltage control unit LVC-III sold separately .,http://i.walmartimages.com/i/mp/00/64/10/92/16/0064109216245_P255045_300X300.jpg,121066,2,,,
2,10928662,1034383417,Epson,Monitors,Epson 1500 Hours 200W UHE Projector Lamp ELPLP12,438.84,,Epson ELPLP12  Replacement Lamp,EPSON ELPLP12 1500HRS 200V REPL LAMP FOR LAMP POWERLITE FOR 7700P 5600P 7600 Features Lamp Life 1500 Hour Manufacturer Epson Corporation Compatible Devices LCD Manufacturer Part Number ELPLP12 Manufacturer Website Address www.epson.com Product Name Replacement Lamp Package Type Retail Product Type 200W UHE Projector Lamp Tech Specs Manufacturer Epson Corporation Manufacturer Part Number ELPLP12 Shipping Dimensions 5.25  Depth Manufacturer Website Address www.epson.com Lamp Life 1500 Hour Compatibility Epson Powerlite 7700P Projector Epson Powerlite 7600P Projector Epson Powerlite 5600P Projector Compatible Devices LCD Product Name Replacement Lamp Shipping Weight 1 lb Package Type Retail Product Type 200W UHE Projector Lamp,http://i.walmartimages.com/i/p/00/01/03/43/83/0001034383417_300X300.jpg,ELPLP12,0.95,6.75,5.75,5.5
3,11961447,80844700031,Comprehensive,TV Accessories,Comprehensive Two-Piece 75 Precision BNC Jack for RG-59 Set of 25,59.25,Comprehensive s True 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable. True 75 BNC connectors are a must for all digital high bandwidth applications above 300 MHz and recommended for all analog applications. A lifetime warranty makes Comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide. Specifications Electrical -Impedance 75 ohm -Freq. Range 0-4 GHZ w low reflection 500V peak 1.3 max. -Thermal limits Usable to 11 GHZ -Voltage Rating PE insulators -55 degrees C to 85 degrees C Mechanical -Mating 2-stud bayonet lock coupling per m39012 -Center Contact Captivated center contact -Cable Retention Crimps 20 to 50 lbs Material -Center contacts Male Female Brass beryllium copper -Body Brass astroplate finish -Crimp Ferrule Copper -Insulators TFE Teflon 75 all crimps rexolite -Derlin 50 glass IFE hermetically sealed -Clamp Gaskets Synthetic rubber silicone rubber -Boots O ring crimp silicone rubber -Heat Shrink Tubing All other crimps thermofit plastic  Comprehensive offers a lifetime warranty on all products,,CH1151Comprehensive s True 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable. True 75 BNC connectors are a must for all digital high bandwidth applications above 300 MHz and recommended for all analog applications. A lifetime warranty makes Comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide. Specifications Electrical   Impedance 75 ohm Freq. Range 0-4 GHZ w low reflection 500V peak 1.3 max. Thermal limits Usable to 11 GHZ Voltage Rating PE insulators -55 degrees C to 85 degrees C Mechanical   Mating 2-stud bayonet lock coupling per m39012 Center Contact Captivated center contact Cable Retention Crimps 20 to 50 lbs   Material   Center contacts Male Female Brass beryllium copper Body Brass astroplate finish Crimp Ferrule Copper Insulators TFE Teflon 75 all crimps rexolite Derlin 50 glass IFE hermetically sealed Clamp Gaskets Synthetic rubber silicone rubber Boots O ring crimp silicone rubber Heat Shrink Tubing All other crimps thermofit plastic   Comprehensive offers a lifetime warranty on all products,http://i.walmartimages.com/i/mp/00/80/84/47/00/0080844700031_P255045_300X300.jpg,BJ-2C7559,0.05,,,
4,13044637,79006932160,D-Link,Garden - General,D-Link DCS-1100 Network Camera,99.82,Surveillance Network Camera  Built-in Omni-directional Microphone  Supports 4 profiles simultaneously,The D-Link DCS-1100 Network Camera comes with everything you need to quickly add a surveillance camera to your home or small office network. It works right out of the box. Simply connect the cables plug in the camera run the short installation wizard and setup is complete. To view what the camera is seeing simply log on to mydlink.com choose your device and start viewing there is no need to configure your router to open up ports or remember hard-to-memorize Internet addresses.,Surveillance Network Camera  Built-in Omni-directional Microphone  Supports 4 profiles simultaneously  Adjustable image size and quality  Time stamp and text overlay  Three configurable motion detection windows  Flip and Mirror,http://i.walmartimages.com/i/p/00/79/00/69/32/0079006932160_300X300.jpg,DCS-1100,,,,
5,13214131,6503081691,StarTech,Electronics - General,StarTech.com RKPW247015 24 Outlet Power Strip,59,Fits most 42U racks and equipment cabinets  10 ft. power cord provides plenty of reach to power outlets  24 evenly spaced outlets help keep power cabling clean,The StarTech.com RKPW247015 24 Outlet Power Strip provides a 0U solution for your rackmount equipment and fits most 42U racks and equipment cabinets. The 10 ft. power cord provides plenty of reach to power outlets and the 24 evenly spaced outlets help keep power cabling clean and efficiently routed.,24 Outlet Power Strip solution for your rackmount equipment  Fits most 42U racks and equipment cabinets  10 ft. power cord provides plenty of reach to power outlets  24 evenly spaced outlets help keep power cabling clean and efficiently routed,http://i.walmartimages.com/i/p/00/06/50/30/81/0006503081691_300X300.jpg,RKPW247015,5.25,72.5,2.5,1.5
6,13215629,2120052175,3M,Furniture,3M FR530CB Ergonomic Adjustable Footrest,67.88,Material Steel  Features Non-skid  Color Charcoal Black,This adjustable footrest offers an ergonomic design that positions you properly to help reduce back neck and leg strain and prevent fatigue. An extra-wide platform allows more foot and leg movement and its independently adjustable height and tile allows exact positioning. Exclusive Safety-Walk Slip Resistant Material on platform keeps your feet from slipping.,Material Steel  Features Non-skid  Color Charcoal Black,http://i.walmartimages.com/i/p/00/02/12/00/52/0002120052175_300X300.jpg,FR530CB,10.5,21.6,13.5,4.05
7,13216122,8869859138,HP,Stationery &amp; Office Machinery,HP C6020B Coated Paper 1 roll 36-inches x 150 ft,49.88,Bright white coated paper  For use with Inkjet printers  Ideal for color-accurate prints and design proofs,The HP C6020B Coated Paper is ideal for color-accurate everyday prints and design proofs. Economical bright white paper captures vivid high-resolution color and dense black images. Offers bright white plus excellent indoor light fastness for lasting vivid color. Coated paper has exceptional bleed control and high resolution for clear sharp images. Can be printed with dye or pigment inks for the broadest application possibilities and printing flexibility.,Bright white coated paper  For use with Inkjet printers  Ideal for color-accurate prints and design proofs  Coated paper has exceptional bleed control and high resolution for clear sharp images  1 roll - 36  x 150,http://i.walmartimages.com/i/p/00/08/86/98/59/0008869859138_300X300.jpg,C6020B,9.78,33.98,3.83,3.83
8,13216211,78541410985,Visioneer,Electronics - General,Visioneer RW120-WU RoadWarrior Sheetfed Scanner,199.98,Sheetfed color scanner  600 dpi  USB connection,The Visioneer RoadWarrior is the perfect companion for the mobile professional. Weighing just 10.6 ounces it produces fast and easy 36-bit color scans to organize all of your receipts business cards documents and photos up to 600 dpi in all major file formats including searchable PDF. The RoadWarrior packs easily in a laptop bag and is powered by the USB port to scan wherever AC power is unavailable.,Sheetfed color scanner  Lightweight and portable  600 dpi  USB connection  Compatible with Windows 2000 and Windows XP,http://i.walmartimages.com/i/p/00/78/54/14/10/0078541410985_300X300.jpg,RW120-WU,1.85,11.4,2,1.5
9,13221597,1250261176,Brother,Stationery &amp; Office Machinery,Brother DK2113 QL Label Printers Continuous Length Tape,64.88,Clear label tape  Ideal for sign and banner creation  1 roll - 2.44  x 50,Make sign and banner creation a breeze. Make them quickly and professionally with these film tape and P-touch Label Printers QL-500 QL-550 and QL-650TD. You can print directly from Microsoft Word Excel or Access with just a click. Or have fun and get creative using Brother,Clear label tape  Ideal for sign and banner creation  For use with Brother P-touch Label Printers QL-500 QL-550 and QL-650TD  1 roll - 2.44  x 50,http://i.walmartimages.com/i/p/00/01/25/02/61/0001250261176_300X300.jpg,DK2113,0.55,4.5,4.5,3.6
10,13215623,5113580710,3M,Electronics - General,3M MW310LE Gel Mouse Pad,17.88,Mouse Pad  Features Antimicrobial non-skid base  Color Black,Mouse pad with wrist rest features 3M Precise Optical Mousing Surface for better performance and gel comfort to encourage neutral wrist posture. Mousing surface extends battery life of wireless mice up to 75 percent. Antimicrobial additive inhibits the growth of microorganisms such as bacteria that can cause stains odors and product degradation.,Mouse Pad  Features Antimicrobial non-skid base  Color Black,http://i.walmartimages.com/i/p/00/05/11/35/80/0005113580710_300X300.jpg,MW310LE,0.95,9.63,7.65,0.36
11,13969168,9305379797,LaCie,Electronics - General,LaCie Formoa 15  MacBook Carrying Case Black,15,Bubble protection and soft inside lining Three pockets For 15 in. MacBooks,The LaCie ForMoa line of carrying cases is a convenient way for you to carry your netbook. Designed by Sam Hecht the ForMoa has handles that you can either use or remove giving you the option to carry it or use it as a sleeve. With its three pockets you can carry your power supply and any other accessories you need letting you take it all with you. Its Neoprene exterior with protective bubbles and inside suede lining means that your laptop is secure against small bumps and scratches. Whether you use the handles or not you can be sure that your electronic gear will always be safe.,Key Features Bubble protection and soft inside lining Three pockets Optional handle For 15 in. MacBooks Color Black,http://i.walmartimages.com/i/p/00/09/30/53/79/0009305379797_300X300.jpg,130935,1.3,16.1,11.5,0.9
12,14250554,64109212230,Draper,Electronics - General,Draper High Contrast Grey Targa Electric Screen  - WideScreen 182 diagonal,1730.95,Targa electric projection screen. Ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms. The motor is mounted inside the roller for a trim balanced appearance. Pentagonal steel case is scratch-resistant white polyester finish with matching endcaps. Features -Now available in 16 10 and 15 9 laptop presentation formats.-Screen operates instantly at the touch of a button and stops automatically in the up and down positions..-Viewing surface can be lowered to any position at the touch of a switch..-NTSC HDTV and WideScreen format screens have black borders on all four sides.-Available with a ceiling trim kit for ceiling recessed installation..-With control options it can be operated from any remote location..-Depending on surface available in sizes through 16 x 16 and 240 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material High Contrast Grey Grey textile backed surface offers excellent resolution while enhancing the blacks of LCD and DLP projected images even as whites and lighter colors are maintained. Performs well in ambient light condition. High Contrast Grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . Available on most non-tensioned motorized and manual screens seamless in sizes up to 8  in height. Peak gain of 0.8.,,DR5377Targa electric projection screen. Ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms. The motor is mounted inside the roller for a trim balanced appearance. Pentagonal steel case is scratch-resistant white polyester finish with matching endcaps.   Features Now available in 16 10 and 15 9 laptop presentation formats Screen operates instantly at the touch of a button and stops automatically in the up and down positions. Viewing surface can be lowered to any position at the touch of a switch. NTSC HDTV and WideScreen format screens have black borders on all four sides Available with a ceiling trim kit for ceiling recessed installation. With control options it can be operated from any remote location. Depending on surface available in sizes through 16 x 16 and 240 NTSC. Custom sizes available. Warranted for one year against defects in materials and workmanship.    Screen Material High Contrast Grey  Grey textile backed surface offers excellent resolution while enhancing the blacks of LCD and DLP projected images even as whites and lighter colors are maintained. Performs well in ambient light condition. High Contrast Grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . Available on most non-tensioned motorized and manual screens seamless in sizes up to 8 in height. Peak gain of 0.8.,http://i.walmartimages.com/i/mp/00/64/10/92/12/0064109212230_P255045_300X300.jpg,116263,100,,,
13,14251773,64109210858,Draper,Electronics - General,Draper AT1200 Access MultiView Series E Acoustically Transparent Screen - 106 diagonal HDTV to NTSC Format,4375.95,The Access MultiView Series E offers total flexibility. One screen two formats. Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. Features -Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection..-Flat black mask on second motor-in-roller converts the projection screen to a 4 3 NTSC format by masking the right and left sides of the viewing surface..-Height of viewing surface remains constant..-Custom sizes available. Screen Material AT1200 Innovative and versatile acoustically transparent screen material. Similar in gain performance to standard matt white. Acoustical properties comparable to the finest speaker grille cloth. Peak gain of 1.0. Installation Instructions,,DR7989The Access MultiView Series E offers total flexibility. One screen two formats. Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection.   Features Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. Flat black mask on second motor-in-roller converts the projection screen to a 4 3 NTSC format by masking the right and left sides of the viewing surface. Height of viewing surface remains constant. Custom sizes available    Screen Material AT1200  Innovative and versatile acoustically transparent screen material. Similar in gain performance to standard matt white. Acoustical properties comparable to the finest speaker grille cloth. Peak gain of 1.0.,http://i.walmartimages.com/i/mp/00/64/10/92/10/0064109210858_P255045_300X300.jpg,106018,96,,,
14,14560013,89745000234,Stanley,Electronics - General,Stanley 500 Watt Power Inverter,34.88,500 watts of continuous power Battery clamps DC plug,The 500 Watt Power Inverter has 500 continuous watts of power two 110 power outlet and a USB power outlet. There are four position mounting grommets and direct battery mounts. Includes battery clips and DC plug. Also has an overload protection battery alarm short circuit protection and fault interrupter. ETL Listed.,500 watts of continuous power 2 110 power outlets and a USB outlet 4 position mounting grommets Includes battery clamps and DC plug,http://i.walmartimages.com/i/p/00/89/74/50/00/0089745000234_300X300.jpg,PC509,2.6,9.75,5,2.25
15,14906581,8.7826E+11,Gear Head,Electronics - General,Gear Head Quick 1.3MP Webcam with Night Vision Red Black,15.98,Up to 1.3 megapixel image capture 640 x 480 video resolution Desktop or laptop mount,Chat face-to-face with your friends - even when you re miles away - with the Gear Head 1.3 megapixel Webcam. Record high-quality videos and send them to friends and family or keep up with relatives on the other side of the country. With the Gear Head 1.3 megapixel Webcam you re never too far away.,Gear Head 1.3MP Webcam Up to 1.3 megapixel image capture 640 x 480 video resolution Built-in snapshot and microphone Night Vision LED technology Desktop or laptop mount Includes 6 USB cable interpolation software CD user manual and warranty information System Requirements Windows 2000 XP Vista or 7 available USB Port CD-ROM drive for software installation,http://i.walmartimages.com/i/p/08/78/26/00/02/0878260002214_300X300.jpg,WC1200RED,1.5,7.2,4.4,3.5
16,14915557,7278205029,Avery,Stationery &amp; Office Machinery,Avery Self-Adhesive Filing Labels 1 3 Cut 3-7 16 x 2 3 Clear 450 Pack,21.47,Clear 1 3 cut filing labels Clear labels virtually disappear on tabs  Labels are 3-7 16,Use the Avery Self-Adhesive Filing Labels for easy color-coding and a custom professional look. The labels have a permanent adhesive and are guaranteed to stick and stay. The Avery Self-Adhesive Filing Labels are easy-to-use and the ideal companion for a,Avery Self-Adhesive Filing Labels Clear 1 3 cut filing labels Create as custom look Clear labels virtually disappear on tabs Labels come in a pack of 450 Labels are 3-7 16,http://i.walmartimages.com/i/p/00/07/27/82/05/0007278205029_300X300.jpg,5029,0.412,,,
17,17038254,77865605376,XFX,Electronics - General,XFX Radeon HD6850 PCIE 1GB DDR5 Graphics Card,195,800 MHz GPU core clock 4200 MHz memory speed 2GB GDDR5,The AMD Radeon HD 6850 ushers in a new era of gaming that takes users to an entirely new level of 3-D experience that is truly immersive and seamless. AMD has also teamed up with other Open 3-D ecosystem partners to provide consumers with more choice more innovation and lower cost.,AMD Radeon HD6850 PCIE 1GB DDR5 Graphics Card   800 MHz GPU core clock 4200 MHz memory speed 2GB GDDR5 AMD HD3D technology AMD CrossFireX multi-GPU support PCI-E 2.1 bus support Microsoft DirectX 11 support AMD Eyefinity Technology capable of up to 3 displays 40 nanometer process technology 3rd generation TeraScale engine AMD PowerPlay technology Enhanced Unified Video Decoder Enhanced internet browser application support Enhanced Microsoft Office 2010 support HDMI 1.4A with support for stereoscopic 3D Deep Color and xvyCC extended gamut Built-in DisplayPort 1.2,http://i.walmartimages.com/i/p/00/77/86/56/05/0077865605376_300X300.jpg,HD685XZNDC,1.08,32.4,16.4,10
18,17054419,78927019146,SKB Cases,Electronics - General,SKB Cases PH Series Pull Handle Case 11 1 2 H x 21 5 8 W x 16 3 8 D outside,214.99,Telescoping retractable pull-handle convenience combined with maximum strength and durability help this line of SKB transit cases set a new industry standard. Molded of high density polyethylene with designed-in roller-blade style wheels. Molded-in bumpers defend these cases from impact damage. Features -Cases are molded of durable impact resistent high-density polyethylene -Convenient retractable pull-handle -Quiet durable roller-blade style wheels -Molded in protective bumpers protect case hardware -Heavy-duty buckle latch system -Comfortable spring loaded side handles Dimensions -Outside Dimensions 11 1 2 H x 21 5 8 W x 16 3 8 D -Inside Dimensions 10 H x 19 3 8 W x 14 D -Lid Depth 4 -Base Depth 6 About SKB Cases In 1977 the first SKB case was manufactured in a small Anaheim California garage. Today SKB engineers provide cases for hundreds of companies involved in many diverse industries. We enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. We never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. We are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an SKB logo has been manufactured with an unconditional commitment to unsurpassed quality. The Million Mile Guaranty - Every SKB hardshell case is unconditionally guaranteed forever. That means IF YOU BREAK IT WE WILL REPAIR OR REPLACE IT AT NO COST TO YOU. SKB cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations. These ar,,SK1027Telescoping retractable pull-handle convenience combined with maximum strength and durability help this line of SKB transit cases set a new industry standard. Molded of high density polyethylene with designed-in roller-blade style wheels. Molded-in bumpers defend these cases from impact damage. Features -Cases are molded of durable impact resistent high-density polyethylene -Convenient retractable pull-handle -Quiet durable roller-blade style wheels -Molded in protective bumpers protect case hardware -Heavy-duty buckle latch system -Comfortable spring loaded side handles Dimensions -Outside Dimensions 11 1 2 H x 21 5 8 W x 16 3 8 D -Inside Dimensions 10 H x 19 3 8 W x 14 D -Lid Depth 4 -Base Depth 6 About SKB Cases In 1977 the first SKB case was manufactured in a small Anaheim California garage. Today SKB engineers provide cases for hundreds of companies involved in many diverse industries. We enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. We never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. We are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an SKB logo has been manufactured with an unconditional commitment to unsurpassed quality. The Million Mile Guaranty - Every SKB hardshell case is unconditionally guaranteed forever. That means IF YOU BREAK IT WE WILL REPAIR OR REPLACE IT AT NO COST TO YOU. SKB cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations. These are tough cases built for a lifetime of service. The Manufacturing Process The Evolution Components and Construction of SKB Cases. The unique styling construction materials and engineering of SKB Cases were the result of many years of research and development by the principle owners of the company. Today Dave Sanderson and Steve Kottman run SKB Corporation s more than 550 employees in 3 manufacturing facilities around the clock in order to meet the global demands. Currently SKB manufactures cases for military industrial purposes the Music Pro Audio Industry and Sports Cases. - SKB Cases are manufactured of ultra-high molecular weight Polyethylene. This unique material was originally specified by the military for use in weapons cases due to the fact that it is impervious to solvents fuels or toxic liquids. It is essentially indestructible molds easily under heat and forms an impenetrable shield thereby protecting whatever it is contains. - SKB also utilizes aluminum valance material for its strength and lightweight characteristics on all closures with a special slot for a custom fitted Neoprene gasket that assists in sealing out moisture. SKB does all this valance bending in house to assure a perfect fit. - All riveting on SKB cases utilizes steel backing plates to prevent pulling through the plastic material. This is an SKB invention. This attention to detail is one of many factors that make SKB cases superior to all others. - Handles wheels D-rings exterior feet cam-action locking latches and butterfly clamps are all heavy duty variety and are also covered under the exclusive SKB Lifetime Warranty unless abused. Some of the handles and latches are manufactured by SKB from plastic regrind . Plus SKB has their own investment casting facility for making latches and hardware. - Rack mount cases utilize aluminum rack frames and include specially designed rack clips and mounting screws for installation of equip,http://i.walmartimages.com/i/mp/00/78/92/70/19/0078927019146_P255045_300X300.jpg,3SKB-1914MR,14,19,14,10
19,14922512,68602439701,INNOVERA,Storage,Innovera CD DVD Pocket with Built-In Label Tab Clear 25 Pack,5.28,CD pocket with built-in tab for adhesive ID labels Tuck-in flap keeps CDs secure 30 adhesive labels included,The Innovera CD DVD Pocket with Built-In Label Tab is a space-saving polypropylene pocket that features built-in tab for adhesive labels included . The tuck-in flap keeps CDs secure.,Innovera 25pk CD DVD Pocket with Built-In Label Tab Clear CD pocket with built-in tab for adhesive ID labels Tuck-in flap keeps CDs secure Fits most standard CD storage units Durable construction deters moisture and dust and helps keep CDs clean 30 adhesive labels included,http://i.walmartimages.com/i/p/00/68/60/24/39/0068602439701_300X300.jpg,39701,0.386,,,
